x,y,z,density,r,g,b
-1.5386119,-0.2091887,-1.3548387,81.64199,0.5547282,0.51778156,0.44903564
-1.7849462,0.7683284,-1.8905181,81.64199,0.49145508,0.38179526,0.22202556
-1.7614858,0.7683284,-1.886608,61.38635,0.5866292,0.49357095,0.28767905
-1.7419355,0.7683284,-1.8905181,52.815086,0.5814209,0.43886313,0.20110066
-1.710655,0.9638319,-1.769306,60.434643,0.3740438,0.22231038,0.1315511
-1.7067449,0.9638319,-1.769306,104.0146,0.49898276,0.3075358,0.14594524
-1.6793745,0.7292278,-1.7849462,69.28866,0.41809082,0.26513672,0.19632976
-1.710655,0.8739003,-1.1202346,53.333385,0.25864664,0.23713176,0.24573772
-1.6207234,0.7956989,-0.9638319,72.898094,0.59977216,0.5668538,0.52107745
-1.6168133,0.7917888,-0.9638319,67.948494,0.52925617,0.49682617,0.40177408
-1.6168133,0.7956989,-0.9638319,156.1444,0.58931476,0.52718097,0.43981934
-1.6129032,0.7956989,-0.9638319,76.69555,0.5719401,0.5130615,0.4394938
-1.9804497,0.8973607,0.16617787,74.9189,0.54886883,0.50476074,0.4084269
-1.9804497,0.8973607,0.17008793,582.4175,0.20677693,0.15920003,0.13607788
-1.9765396,0.8973607,0.17008793,103.609085,0.5602214,0.5091553,0.46370444
-1.9804497,0.91300094,0.92473114,59.26573,0.5099284,0.45194498,0.41837564
-1.7849462,0.9638319,1.8514174,95.07704,0.3967692,0.3122355,0.22612508
-1.5386119,0.83479965,1.9178885,115.58429,0.45263672,0.4042562,0.35217285
-1.7966764,1.0537634,-1.8905181,57.218372,0.46166992,0.40264893,0.31789145
-1.7849462,1.2805474,-1.773216,79.750755,0.3109131,0.21944173,0.165507
-1.7849462,1.2805474,-1.769306,52.19977,0.38509116,0.28389487,0.1878357
-1.5855328,1.42131,-1.601173,81.3237,0.28037515,0.26660156,0.26216635
-1.5386119,1.42131,-1.601173,51.996265,0.45100912,0.41160074,0.34672037
-1.8787879,1.315738,-1.3939394,161.10095,0.43729654,0.27187094,0.14404297
-1.8709677,1.315738,-1.3939394,59.034676,0.48000082,0.32878622,0.22912598
-1.773216,1.2922776,-1.1358749,55.89291,0.6756592,0.5371704,0.24457805
-1.7067449,1.2492669,-1.2218964,56.111668,0.7654622,0.57177734,0.1973877
-1.9687195,1.0967742,-0.9521017,87.2476,0.44067383,0.31939697,0.23295085
-1.824047,1.0811338,-0.66275656,88.27605,0.36625162,0.25915527,0.15929158
-1.6402737,1.2375367,-0.6783968,88.9684,0.42211914,0.24413045,0.15667725
-1.6168133,1.2375367,-0.67448676,67.68359,0.5595703,0.4138387,0.2741089
-1.6676441,1.2766373,-0.06451619,72.898094,0.4736328,0.27062988,0.16442871
-1.6676441,1.2766373,-0.060606003,151.34033,0.55769855,0.29451498,0.18321736
-1.6676441,1.3939394,-0.07624638,57.218372,0.4609375,0.24028523,0.13584392
-1.6637341,1.3939394,-0.07624638,161.10095,0.5053304,0.39650473,0.22006226
-1.9804497,1.483871,0.13098729,66.89505,0.40694174,0.27549234,0.15965779
-1.9061583,1.198436,0.13880742,80.37625,0.50634766,0.3658854,0.23617554
-1.9022483,1.198436,0.13880742,87.2476,0.47229004,0.30421957,0.21627808
-1.7849462,1.1749756,0.44379282,65.60118,0.47460938,0.2873942,0.18518066
-1.7067449,1.3431085,0.052785873,92.151825,0.48339844,0.30413818,0.14344788
-1.6676441,1.3040078,0.11534703,54.279175,0.48164877,0.35239664,0.2049052
-1.6637341,1.198436,0.14662755,74.335884,0.6048991,0.49723306,0.29593912
-1.6402737,1.198436,0.14271748,84.23359,0.48563638,0.23128255,0.13422649
-1.6324536,1.198436,0.14271748,61.62661,0.47892252,0.2909139,0.19307454
-1.5503421,1.0694036,0.2209189,81.3237,0.34309897,0.20252483,0.105138145
-1.5268817,1.2766373,0.3655914,60.19903,0.6034749,0.5303752,0.35150146
-1.5112414,1.0029325,0.44379282,62.842087,0.35847983,0.23472087,0.11809286
-1.9960899,1.4995112,0.8973607,73.46984,0.5224202,0.45316568,0.2949829
-1.9843597,1.2453568,0.9403715,63.33496,0.33654785,0.3087565,0.2929077
-1.9804497,1.2453568,0.9403715,56.551754,0.34798178,0.29197183,0.26100668
-1.9804497,1.3822092,0.97947216,95.07704,0.6739502,0.5026245,0.1845042
-1.9530792,1.315738,0.6236559,59.73056,0.5218099,0.40730795,0.24631755
-1.9491692,1.315738,0.6236559,88.9684,0.5461426,0.4963379,0.35017905
-1.9452591,1.315738,0.6236559,206.05127,0.5736491,0.54052734,0.39485678
-1.941349,1.315738,0.6236559,221.06075,0.4072062,0.38264975,0.28483072
-1.937439,1.315738,0.6236559,106.06611,0.33711752,0.28848267,0.20058186
-1.9335289,1.315738,0.627566,65.090675,0.43003336,0.33991495,0.23543294
-1.9296187,1.4330401,0.9638319,109.86131,0.44266763,0.26657104,0.12742107
-1.9257087,1.1085044,0.5219941,53.6468,0.49666342,0.25290933,0.16429138
-1.9257087,1.2414467,0.9403715,71.20941,0.39998373,0.3433838,0.3206787
-1.9257087,1.2453568,0.9403715,79.43984,0.33422852,0.28218588,0.25978598
-1.9257087,1.4330401,0.9638319,53.437653,0.24649048,0.20466106,0.15981038
-1.9217986,1.2414467,0.9403715,76.09871,0.40344238,0.3360189,0.30729166
-1.9217986,1.2453568,0.9403715,61.147026,0.339681,0.28344727,0.25767007
-1.8905181,1.315738,0.6236559,72.04881,0.5333252,0.41853842,0.33251953
-1.8905181,1.315738,0.627566,51.996265,0.45039877,0.2896525,0.2177531
-1.8396872,1.1202346,0.8074291,52.91834,0.42614746,0.26926675,0.17554729
-1.773216,1.2101662,0.8973607,81.3237,0.49930826,0.33998618,0.2449646
-1.6715543,1.315738,0.9521017,83.252235,0.3966268,0.24842326,0.12184652
-1.6676441,1.319648,0.9521017,228.97063,0.58284503,0.4254354,0.15382385
-1.6637341,1.315738,0.9521017,84.23359,0.37451172,0.17728679,0.076416016
-1.659824,1.315738,0.9521017,106.48123,0.35290527,0.21750896,0.111699425
-1.659824,1.315738,0.9560118,51.591625,0.4781901,0.33854166,0.17767334
-1.659824,1.319648,0.9521017,69.55985,0.5557454,0.37802124,0.1647288
-1.655914,1.3822092,0.9755621,50.79177,0.54296875,0.38826498,0.2765096
-1.655914,1.3822092,0.97947216,93.23808,0.61539716,0.5005086,0.27217612
-1.6402737,1.3822092,0.97947216,51.89481,0.6993408,0.53181964,0.21610515
-1.6246334,1.2375367,0.9403715,54.81184,0.497111,0.4383545,0.39001465
-1.6246334,1.2414467,0.9403715,53.0218,0.46903482,0.3939209,0.3577881
-1.6168133,1.2375367,0.9403715,77.90333,0.42626953,0.39916992,0.35172525
-1.5777125,1.315738,0.9755621,114.68481,0.38407388,0.21487427,0.16463216
-1.5777125,1.315738,0.97947216,61.86781,0.41471353,0.2709961,0.17795818
-1.5738025,1.315738,0.9755621,106.89799,0.3831787,0.23140462,0.15434773
-1.5698924,1.315738,0.9755621,51.190136,0.45422363,0.27349854,0.15449016
-1.5073314,1.4995112,0.54936457,101.6051,0.3429769,0.3191935,0.27923584
-1.9843597,1.0107527,1.1202346,55.675,0.38997397,0.34010825,0.26890054
-1.9843597,1.0146627,1.1241447,65.34543,0.4659017,0.40319824,0.32167563
-1.9804497,1.0146627,1.1241447,52.91834,0.40378824,0.3387858,0.31848145
-1.9765396,1.0146627,1.1202346,138.33627,0.27467856,0.21079509,0.19251506
-1.9687195,1.0146627,1.1202346,156.75554,0.15026855,0.13469441,0.15193684
-1.9648094,1.0146627,1.1202346,50.200027,0.1761678,0.16769409,0.21787517
-1.9530792,1.2531769,1.0576735,59.73056,0.58219403,0.44244385,0.2532959
-1.9491692,1.2492669,1.0576735,83.57807,0.57661945,0.50319415,0.32191977
-1.941349,1.1867058,1.4721408,66.89505,0.57454425,0.40830484,0.1655833
-1.9296187,1.1202346,1.1202346,84.23359,0.53059894,0.39648438,0.22189331
-1.8435973,1.0694036,1.260997,54.59815,0.4609375,0.37601724,0.3049113
-1.6832845,1.2375367,1.2375367,71.767914,0.45166016,0.37823486,0.27805582
-1.6793745,1.2375367,1.2375367,215.098,0.61934406,0.51708984,0.28157553
-1.6754644,1.2375367,1.2375367,90.369446,0.5869548,0.4815267,0.28092447
-1.5816227,1.2375367,1.2375367,81.3237,0.45829263,0.30434164,0.19402058
-1.5698924,1.3822092,1.0811338,65.090675,0.47652182,0.2921753,0.18880208
-1.5347018,1.0146627,1.1202346,121.605385,0.40757242,0.3297933,0.24772136
-1.5229716,1.2375367,1.2375367,112.4666,0.4134725,0.22939046,0.0863444
-1.9491692,1.2883675,1.9960899,61.38635,0.73498535,0.6987712,0.32639566
-1.9296187,1.0459433,1.7849462,61.38635,0.37947592,0.33522543,0.269694
-1.9296187,1.4565005,1.6950147,76.69555,0.62247723,0.52612305,0.24878947
-1.9178885,1.0420332,1.7849462,53.333385,0.5530192,0.45825195,0.3355713
-1.9139785,1.0420332,1.7849462,55.675,0.58394367,0.50236005,0.38517252
-1.8396872,1.2531769,1.7849462,53.437653,0.49291992,0.26472473,0.12167867
-1.7849462,1.3939394,1.5620723,156.75554,0.37150064,0.31758627,0.24776204
-1.7771261,1.3939394,1.5620723,72.330795,0.41748047,0.340271,0.21697998
-1.773216,1.3939394,1.5620723,197.38503,0.38022867,0.2832438,0.1524353
